Timestamp,What is your gender?,How old are you?,Are you a student?,What is your current occupation status?,How much money are you willing to spend per month on online shopping?   (VND),Your average spending per month on online shopping: (VND),How frequently do you shop online? ,Which product categories do you buy most often online? (Select all that apply),On which special occasions do you shop online? (Select all that apply),How important are discounts when you shop online?,What type of promotions influence your purchase the most? (Select all that apply),"How likely are you to switch platforms (e.g., from Shopee to Lazada) to get a better discount? ","How often do you compare prices across multiple platforms before buying? 
",How important are product reviews in your purchase decision?,How often do you read customer reviews before buying? ,"If a product has mixed reviews (both good and bad), what do you usually do?   (Select all that apply)",Which platform do you use the most for online shopping?  (Select all that apply),Which online marketing channels influence your shopping decisions the most? (Select all that apply),"What issues cause you the most frustration when shopping online?  
(Select all that apply)"
11/25/2025 11:16:04,Male,21,Yes,Looking for a job,"From 500,000 to below 1.000,000","From 200,000 to below 500,000",2–3 times a month,"Fashion (clothes, shoes, etc.), Electronics & gadgets, Event tickets and entertainment services","Birthday, Tet Holiday (Lunar New Year), Black Friday, Holiday celebrations (Christmas, Mid-Autumn, etc.), When gifts are needed",Moderately Important,"Free shipping, Buy 1 Get 1, Bundle discounts (combo sets)",Likely,Sometimes,Very Important,Often,Read more reviews in detail to decide,Shopee,"Short videos (TikTok, Reels, Shorts), Ads on social media","Product does not meet your expectations, Poor product quality"
11/25/2025 11:17:44,Male,22,Yes,Part time employed,"Below 200,000","Below 200,000",Once a month or less,"Electronics & gadgets, Home appliances, Software and subscriptions, Online courses and educations","Birthday, Anniversary, Tet Holiday (Lunar New Year), Black Friday, When gifts are needed, Mega sale days (11.11, 12.12,..), End-Of-Year clearance",Very Important,"Percentage discounts (e.g., 30%), Voucher codes, Free shipping, Buy 1 Get 1, Flash sales",Likely,Often,Extremely Important,Always,Read more reviews in detail to decide,TikTok Shop,"Short videos (TikTok, Reels, Shorts), Blogs/articles, Social media posts (Facebook, Instagram, TikTok), Ads on social media","Long delivery time, Product does not meet your expectations, Poor product quality, Hidden fees / unexpected shipping costs"
11/25/2025 11:26:37,Male,21,Yes,Looking for a job,"From 200,000 to below 500,000","From 200,000 to below 500,000",2–3 times a month,"Fashion (clothes, shoes, etc.), Beauty & skincare, Book and stationery","Black Friday, Holiday celebrations (Christmas, Mid-Autumn, etc.), When gifts are needed, Mega sale days (11.11, 12.12,..)",Very Important,"Percentage discounts (e.g., 30%), Flash sales",Posibily/Occasionally,Sometimes,Slightly Important,Rarely,Read more reviews in detail to decide,"TikTok Shop, Shopee","Social media posts (Facebook, Instagram, TikTok), Ads on social media",Product does not meet your expectations
11/25/2025 11:31:28,Female,22,No,Looking for a job,"1.000,000 or above","1.000,000 or above",Once a week,"Fashion (clothes, shoes, etc.), Food & beverages, Beauty & skincare, Electronics & gadgets, Vehicles and accessories, Software and subscriptions, Online courses and educations","Birthday, Anniversary, Tet Holiday (Lunar New Year), Black Friday, Back-To-School season, Holiday celebrations (Christmas, Mid-Autumn, etc.), When gifts are needed, End-Of-Year clearance",Extremely Important,"Flash sales, Bundle discounts (combo sets)",Certainly,Always,Extremely Important,Always,"Read more reviews in detail to decide, Look for alternative products, Still buy if the price is good","TikTok Shop, Shopee, Instagram Shop","Livestream shopping, Short videos (TikTok, Reels, Shorts), Social media posts (Facebook, Instagram, TikTok)","Long delivery time, Product does not meet your expectations"
11/25/2025 11:32:31,Male,21,Yes,Full time employed,"From 500,000 to below 1.000,000","From 500,000 to below 1.000,000",Once a week,"Fashion (clothes, shoes, etc.), Beauty & skincare, Home appliances","Birthday, Anniversary, When gifts are needed, Mega sale days (11.11, 12.12,..)",Very Important,"Percentage discounts (e.g., 30%), Flash sales",Likely,Always,Very Important,Often,"Read more reviews in detail to decide, Look for alternative products","TikTok Shop, Shopee","Short videos (TikTok, Reels, Shorts), Social media posts (Facebook, Instagram, TikTok)","Product does not meet your expectations, Poor product quality"
11/25/2025 11:35:25,Female,50,No,Looking for a job,"From 500,000 to below 1.000,000","From 500,000 to below 1.000,000",Once a week,"Fashion (clothes, shoes, etc.), Food & beverages, Beauty & skincare","Birthday, Anniversary, Black Friday, Back-To-School season",Moderately Important,"Percentage discounts (e.g., 30%), Free shipping, Buy 1 Get 1, Flash sales",Unlikely,Sometimes,Moderately Important,Rarely,Read more reviews in detail to decide,"TikTok Shop, Shopee","Livestream shopping, KOL/Influencer reviews",Poor product quality
11/25/2025 11:35:33,Male,21,Yes,Part time employed,"Below 200,000","Below 200,000",Once a month or less,"Fashion (clothes, shoes, etc.), Food & beverages","Birthday, Mega sale days (11.11, 12.12,..)",Moderately Important,"Percentage discounts (e.g., 30%), Flash sales",Likely,Sometimes,Moderately Important,Rarely,Still buy if the price is good,Shopee,"KOL/Influencer reviews, Ads on social media","Long delivery time, Hidden fees / unexpected shipping costs"
11/25/2025 11:40:27,Male,23,No,Full time employed,"1.000,000 or above","From 500,000 to below 1.000,000",Once a week,"Fashion (clothes, shoes, etc.), Food & beverages, Beauty & skincare, Electronics & gadgets","Black Friday, When gifts are needed, Mega sale days (11.11, 12.12,..)",Moderately Important,"Percentage discounts (e.g., 30%), Voucher codes, Free shipping, Flash sales",Likely,Often,Very Important,Always,Look for alternative products,"TikTok Shop, Shopee, Instagram Shop","Livestream shopping, Short videos (TikTok, Reels, Shorts), KOL/Influencer reviews","Product does not meet your expectations, Poor product quality"
11/25/2025 11:45:48,Male,21,Yes,Looking for a job,"1.000,000 or above","1.000,000 or above",2–3 times a week,"Fashion (clothes, shoes, etc.), Electronics & gadgets",Black Friday,Very Important,"Percentage discounts (e.g., 30%), Free shipping",Very unlikely,Never,Extremely Important,Sometimes,Read more reviews in detail to decide,TikTok Shop,KOL/Influencer reviews,Long delivery time
11/25/2025 11:46:55,Female,23,No,Other,"1.000,000 or above","1.000,000 or above",2–3 times a month,"Fashion (clothes, shoes, etc.), Beauty & skincare, Book and stationery","Tet Holiday (Lunar New Year), Mega sale days (11.11, 12.12,..)",Very Important,"Percentage discounts (e.g., 30%), Voucher codes, Free shipping, Flash sales",Unlikely,Rarely,Very Important,Always,Read more reviews in detail to decide,Shopee,"Short videos (TikTok, Reels, Shorts), Social media posts (Facebook, Instagram, TikTok)","Long delivery time, Poor product quality, Hidden fees / unexpected shipping costs"
