"Age","Is_student","Spending_Willing","Spending_Average","Gender_Female","Gender_Male","occupation_full_time_employed","occupation_looking_for_a_job","occupation_other","occupation_part_time_employed","Shop_Frequency_2-3_times_a_month","Shop_Frequency_2-3_times_a_week","Shop_Frequency_daily_almost_daily","Shop_Frequency_once_a_month_or_less","Shop_Frequency_once_a_week","Switch_Platform_Likelihood_certainly","Switch_Platform_Likelihood_likely","Switch_Platform_Likelihood_posibily_occasionally","Switch_Platform_Likelihood_unlikely","Switch_Platform_Likelihood_very_unlikely","Compare_Frequency_Always","Compare_Frequency_Never","Compare_Frequency_Often","Compare_Frequency_Rarely","Compare_Frequency_Sometimes","Review_Importance_extremely_important","Review_Importance_moderately_important","Review_Importance_not_important","Review_Importance_slightly_important","Review_Importance_very_important","Review_Read_Frequency_Always","Review_Read_Frequency_Never","Review_Read_Frequency_Often","Review_Read_Frequency_Rarely","Review_Read_Frequency_Sometimes","Discount_Importance_extremely_important","Discount_Importance_moderately_important","Discount_Importance_not_important","Discount_Importance_slightly_important","Discount_Importance_very_important","Product_Category_Beauty","Product_Category_Book","Product_Category_Electronics","Product_Category_Online_Education","Product_Category_Home_Appliances","Product_Category_Software","Product_Category_Other","Product_Category_Entertainment","Product_Category_Vehicles","Product_Category_Fashion","Product_Category_Food","Special_Occasion_Anniversary","Special_Occasion_Back-To-School_Season","Special_Occasion_Mega_Sales","Special_Occasion_Black_Holiday","Special_Occasion_Holiday_Celebrations","Special_Occasion_Tet_Holiday","Special_Occasion_Year_End_Clearance","Special_Occasion_Gift_Needed","Special_Occasion_Birthday","Special_Occasion_No_Special_Occasion_Shopping","Special_Occasion_Other","Promotion_Type_BOGO","Promotion_Type_Bundle_Discount","Promotion_Type_Flash_Sale","Promotion_Type_Free_Shipping","Promotion_Type_No_Influence","Promotion_Type_Percentage_Discount","Promotion_Type_Voucher_Code","Mixed_Review_Action_Avoid_Buying","Mixed_Review_Action_Read_More_Detail","Mixed_Review_Action_Buy_If_Price_Good","Mixed_Review_Action_Look_Alternative","Mixed_Review_Action_No_Effect","Mixed_Review_Action_Other","Main_Platform_Facebook_Market","Main_Platform_Lazada","Main_Platform_Other","Main_Platform_Shopee","Main_Platform_Instagram_Shop","Main_Platform_TikTok_Shop","Marketing_Channel_Blogs","Marketing_Channel_Other","Marketing_Channel_Social_Media_Posts","Marketing_Channel_Social_Media_Ads","Marketing_Channel_Influencer_Reviews","Marketing_Channel_Livestream","Marketing_Channel_Short_Videos","Frustration_Issues_Complicated_Returns","Frustration_Issues_Expectations_Mismatch","Frustration_Issues_Hidden_Fees","Frustration_Issues_Poor_Quality","Frustration_Issues_Long_Delivery"
25.5,1,750000,350000,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
25.5,1,1e+05,1e+05,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1
25.5,1,350000,350000,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
25.5,0,1e+06,1e+06,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1
25.5,1,750000,750000,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
45.5,0,750000,750000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
25.5,1,1e+05,1e+05,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
25.5,0,1e+06,750000,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
25.5,1,1e+06,1e+06,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
25.5,0,1e+06,1e+06,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
